title,NumberOfRate,Rate,grene,histogram,oneStar,twoStar,threeStar,fourStar,fiveStar,last_update
PUBG: NEW STATE,1017625,4.0,Action,"[660795, 85903, 52864, 33040, 185023]",185023,33040,52864,85903,660795,2021-11-20 11:56:18
Seven Knights 2,34433,3.6,Role Playing,"[16879, 5232, 3038, 2025, 7258]",7258,2025,3038,5232,16879,2021-11-20 11:56:18
Pure Sniper: City Gun Shooting,5580,4.4,Action,"[4612, 0, 369, 0, 600]",600,0,369,0,4612,2021-11-20 11:56:18
Family Farm Adventure,252098,4.4,Simulation,"[182680, 38363, 12788, 5480, 12788]",12788,5480,12788,38363,182680,2021-11-20 11:56:18
Sniper 3D：Gun Shooting Games,15039601,4.4,Action,"[9960001, 2888400, 1095600, 298800, 796800]",796800,298800,1095600,2888400,9960001,2021-11-20 11:56:18
Rebel Racing,548553,4.5,Racing,"[403348, 80670, 28234, 8067, 28234]",28234,8067,28234,80670,403348,2021-11-20 11:56:18
Angry Birds 2,5878461,4.3,Casual,"[4026343, 885795, 322107, 161054, 483161]",483161,161054,322107,885795,4026343,2021-11-20 11:56:18
Soul Knight,1396249,4.5,Action,"[1065839, 191851, 63950, 21317, 53292]",53292,21317,63950,191851,1065839,2021-11-20 11:56:18
UNO!™,1123606,4.5,Card,"[913501, 73080, 36540, 18270, 82215]",82215,18270,36540,73080,913501,2021-11-20 11:56:18
ZOMBIE HUNTER: Offline Games,102560,4.5,Action,"[77697, 13208, 6216, 1554, 3885]",3885,1554,6216,13208,77697,2021-11-20 11:56:18
My Cooking: Chef Fever Games,154732,4.6,Arcade,"[119947, 20391, 7197, 2399, 4798]",4798,2399,7197,20391,119947,2021-11-20 11:56:18
Blocky Cars tank games  online,434644,4.4,Action,"[321959, 48294, 22537, 9659, 32196]",32196,9659,22537,48294,321959,2021-11-20 11:56:18
Suspects: Mystery Mansion,595934,4.3,Action,"[434988, 60898, 30449, 13050, 56548]",56548,13050,30449,60898,434988,2021-11-20 11:56:18
Sniper Zombies: Offline Games,93724,4.5,Action,"[74979, 6748, 4499, 2249, 5249]",5249,2249,4499,6748,74979,2021-11-20 11:56:18
Best Fiends - Match 3 Puzzles,2154477,4.6,Casual,"[1670137, 300625, 83507, 33403, 66805]",66805,33403,83507,300625,1670137,2021-11-20 11:56:18
MARVEL Future Revolution,150723,4.0,Role Playing,"[89185, 22296, 9810, 6243, 23188]",23188,6243,9810,22296,89185,2021-11-20 11:56:18
Shadow of Death: Dark Knight,295472,4.7,Action,"[259186, 18143, 5184, 2592, 10367]",10367,2592,5184,18143,259186,2021-11-20 11:56:18
Clash Royale,32378245,4.2,Strategy,"[22484892, 3822432, 1573942, 674547, 3822432]",3822432,674547,1573942,3822432,22484892,2021-11-20 11:56:18
Dragons: Rise of Berk,1533393,4.5,Simulation,"[1207396, 169035, 60370, 24148, 72444]",72444,24148,60370,169035,1207396,2021-11-20 11:56:18
TFT: Teamfight Tactics,280200,4.2,Strategy,"[188054, 33850, 13164, 9403, 35730]",35730,9403,13164,33850,188054,2021-11-20 11:56:18
MARVEL Strike Force: Squad RPG,597026,4.0,Role Playing,"[329849, 108850, 56074, 32985, 69268]",69268,32985,56074,108850,329849,2021-11-20 11:56:18
Warhammer 40 000: Lost Crusade,68542,4.5,Strategy,"[51151, 9207, 2558, 1535, 4092]",4092,1535,2558,9207,51151,2021-11-20 11:56:18
Home Street—Dream House Design,455593,4.3,Simulation,"[330140, 52822, 23110, 9904, 39617]",39617,9904,23110,52822,330140,2021-11-20 11:56:18
The Sims™ FreePlay,1012596,4.1,Simulation,"[670593, 114001, 60353, 33530, 134119]",134119,33530,60353,114001,670593,2021-11-20 11:56:18
Zombie War Idle Defense Game,29053,4.3,Casual,"[21362, 2136, 2136, 1068, 2350]",2350,1068,2136,2136,21362,2021-11-20 11:56:18
Epic Seven,369899,4.5,Role Playing,"[280227, 47639, 14011, 5605, 22418]",22418,5605,14011,47639,280227,2021-11-20 11:56:18
FarmVille 3 - Animals,48780,4.3,Simulation,"[31471, 8812, 4091, 2203, 2203]",2203,2203,4091,8812,31471,2021-11-20 11:56:18
Game of Khans,86934,4.2,Role Playing,"[52056, 19261, 7288, 2603, 5726]",5726,2603,7288,19261,52056,2021-11-20 11:56:18
Bermuda Adventures Island Farm,69138,4.6,Adventure,"[53183, 10637, 3723, 532, 1064]",1064,532,3723,10637,53183,2021-11-20 11:56:18
Love Live!School idol festival,169383,4.5,Music,"[132330, 14556, 6617, 3970, 11910]",11910,3970,6617,14556,132330,2021-11-20 11:56:18
Warhammer: Chaos & Conquest,32074,4.2,Strategy,"[19439, 6609, 2333, 972, 2721]",2721,972,2333,6609,19439,2021-11-20 11:56:18
Gems of War - Match 3 RPG,131684,4.5,Puzzle,"[98272, 21620, 4914, 1965, 4914]",4914,1965,4914,21620,98272,2021-11-20 11:56:18
Governor of Poker 3 - Texas,286037,4.4,Card,"[204312, 44949, 10216, 4086, 22474]",22474,4086,10216,44949,204312,2021-11-20 11:56:18
NBA SuperCard Basketball Game,8239,4.3,Sports,"[5605, 1065, 617, 168, 785]",785,168,617,1065,5605,2021-11-20 11:56:18
Virtual Families: Cook Off,61256,4.5,Action,"[46760, 7482, 2806, 1403, 2806]",2806,1403,2806,7482,46760,2021-11-20 11:56:18
BlitZ: Rise of Heroes,6499,4.5,Role Playing,"[4744, 1186, 332, 95, 142]",142,95,332,1186,4744,2021-11-20 11:56:18
Pirates Outlaws,26130,4.4,Card,"[18664, 3919, 1306, 933, 1306]",1306,933,1306,3919,18664,2021-11-20 11:56:18
Civilization war : Reign of empire,17972,4.3,Strategy,"[11670, 3268, 1400, 700, 934]",934,700,1400,3268,11670,2021-11-20 11:56:18
Claw Stars,51214,4.4,Arcade,"[30667, 15027, 3987, 613, 920]",920,613,3987,15027,30667,2021-11-20 11:56:18
Pocket Plants - Idle Garden  Grow Plant Games,36107,4.5,Simulation,"[23146, 9490, 2083, 926, 463]",463,926,2083,9490,23146,2021-11-20 11:56:18
Shop Titans: Epic Idle Crafter  Build & Trade RPG,159186,4.3,Simulation,"[104728, 28276, 10473, 5236, 10473]",10473,5236,10473,28276,104728,2021-11-20 11:56:18
Memories: My Story  My Choice,54902,4.5,Simulation,"[45002, 1800, 4050, 0, 4050]",4050,0,4050,1800,45002,2021-11-20 11:56:18
Battle Camp - Monster Catching,612885,4.3,Role Playing,"[453989, 45399, 31779, 13620, 68098]",68098,13620,31779,45399,453989,2021-11-20 11:56:18
Old School RuneScape,99666,4.5,Adventure,"[82369, 5766, 2471, 824, 8237]",8237,824,2471,5766,82369,2021-11-20 11:56:18
Let's Journey－idle clicker RPG,4035,4.2,Role Playing,"[2445, 880, 269, 98, 342]",342,98,269,880,2445,2021-11-20 11:56:18
Shark Tank Tycoon,21413,4.1,Simulation,"[13905, 2503, 1669, 973, 2364]",2364,973,1669,2503,13905,2021-11-20 11:56:18
Love Nikki-Dress UP Queen,445963,4.3,Role Playing,"[293397, 73349, 26406, 11736, 41076]",41076,11736,26406,73349,293397,2021-11-20 11:56:18
2 Minutes in Space: Missiles!,11193,4.3,Action,"[6253, 2814, 1626, 188, 313]",313,188,1626,2814,6253,2021-11-20 11:56:18
Cricket League,63431,4.3,Sports,"[44670, 8934, 3574, 893, 5360]",5360,893,3574,8934,44670,2021-11-20 11:56:18
Hello Kitty - Merge Town,520,4.0,Puzzle,"[329, 33, 59, 33, 66]",66,33,59,33,329,2021-11-20 11:56:18
